system:index,ET_mm_mes,Pozo,anio,fecha,mes,.geo
2_0000000000000000000b,101.4,11,2020,2020-12-01,12,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
2_0000000000000000000c,99.70000000000002,13,2020,2020-12-01,12,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
2_0000000000000000000d,98.3,14,2020,2020-12-01,12,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
3_00000000000000000000,119.2,1,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
3_00000000000000000001,119.1,2A,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
3_00000000000000000002,119.2,2B,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
3_00000000000000000003,119.2,3,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
3_00000000000000000004,119.2,4,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
3_00000000000000000005,119.2,5,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
3_00000000000000000006,119.2,6,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
3_00000000000000000007,128.20000000000002,7,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
3_00000000000000000008,128.20000000000002,8,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
3_00000000000000000009,121.5,9,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
3_0000000000000000000a,129.0,10,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
3_0000000000000000000b,129.0,11,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
3_0000000000000000000c,119.1,13,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
3_0000000000000000000d,121.60000000000001,14,2021,2021-01-01,1,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
4_00000000000000000000,143.2,1,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
4_00000000000000000001,131.9,2A,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
4_00000000000000000002,143.2,2B,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
4_00000000000000000003,143.2,3,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
4_00000000000000000004,143.2,4,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
4_00000000000000000005,143.2,5,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
4_00000000000000000006,143.2,6,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
4_00000000000000000007,140.0,7,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
4_00000000000000000008,140.0,8,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
4_00000000000000000009,140.10000000000002,9,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
4_0000000000000000000a,145.10000000000002,10,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
4_0000000000000000000b,145.10000000000002,11,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
4_0000000000000000000c,131.9,13,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
4_0000000000000000000d,136.5,14,2021,2021-02-01,2,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
5_00000000000000000000,144.90000000000003,1,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
5_00000000000000000001,136.4,2A,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
5_00000000000000000002,144.90000000000003,2B,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
5_00000000000000000003,144.90000000000003,3,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
5_00000000000000000004,144.90000000000003,4,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
5_00000000000000000005,144.90000000000003,5,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
5_00000000000000000006,144.90000000000003,6,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
5_00000000000000000007,151.60000000000002,7,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
5_00000000000000000008,151.60000000000002,8,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
5_00000000000000000009,149.89999999999998,9,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
5_0000000000000000000a,149.9,10,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
5_0000000000000000000b,149.9,11,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
5_0000000000000000000c,136.4,13,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
5_0000000000000000000d,135.9,14,2021,2021-03-01,3,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
6_00000000000000000000,96.80000000000001,1,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
6_00000000000000000001,88.4,2A,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
6_00000000000000000002,96.80000000000001,2B,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
6_00000000000000000003,96.80000000000001,3,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
6_00000000000000000004,96.80000000000001,4,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
6_00000000000000000005,96.80000000000001,5,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
6_00000000000000000006,96.80000000000001,6,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
6_00000000000000000007,84.60000000000001,7,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
6_00000000000000000008,84.60000000000001,8,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
6_00000000000000000009,93.0,9,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
6_0000000000000000000a,96.0,10,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
6_0000000000000000000b,96.0,11,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
6_0000000000000000000c,88.4,13,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
6_0000000000000000000d,97.30000000000001,14,2021,2021-04-01,4,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
7_00000000000000000000,129.4,1,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
7_00000000000000000001,125.89999999999999,2A,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
7_00000000000000000002,129.4,2B,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
