Pozo,X,Y,NDVI
1,527829.0,9802096.0,0.6170465
2A,527824.0,9801906.0,0.5891374
2B,527835.0,9801928.0,0.6135957
3,527356.0,9801943.0,0.5692412
4,527489.0,9801923.0,0.5457492
5,527645.0,9802077.0,0.7391615
6,527833.0,9802088.0,0.56455934
7,528687.0,9802193.0,0.73967224
8,528804.0,9802291.0,0.70714563
9,528859.0,9802315.0,0.7030288
10,529001.0,9802506.0,0.58652574
11,528895.0,9802410.0,0.6081888
13,527650.0,9801909.0,0.67304415
14,527873.0,9801882.0,0.75382453
