Pozo,X,Y,NDVI
1,527829.0,9802096.0,0.826742
2A,527824.0,9801906.0,0.8360313
2B,527835.0,9801928.0,0.83514774
3,527356.0,9801943.0,0.71712863
4,527489.0,9801923.0,0.7527594
5,527645.0,9802077.0,0.8489392
6,527833.0,9802088.0,0.84571964
7,528687.0,9802193.0,0.79314387
8,528804.0,9802291.0,0.85622776
9,528859.0,9802315.0,0.89023584
10,529001.0,9802506.0,0.8479657
11,528895.0,9802410.0,0.8722966
13,527650.0,9801909.0,0.8015778
14,527873.0,9801882.0,0.90241325
